"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Acknowledgment Number","TCP Segment Len","Info"
"104","0.749444","142.250.183.138","10.135.49.223","QUIC","163","","","","Protected Payload (KP0)"
"105","0.749678","10.135.49.223","142.250.183.138","QUIC","78","","","","Protected Payload (KP0), DCID=f85aadee51f44cfc"
"106","0.756258","142.250.183.138","10.135.49.223","QUIC","649","","","","Protected Payload (KP0)"
"107","0.756594","10.135.49.223","142.250.183.138","QUIC","79","","","","Protected Payload (KP0), DCID=f85aadee51f44cfc"
"108","0.761829","142.250.183.138","10.135.49.223","QUIC","244","","","","Protected Payload (KP0)"
"109","0.787376","10.135.49.223","142.250.183.138","QUIC","76","","","","Protected Payload (KP0), DCID=f85aadee51f44cfc"
"110","0.837654","128.119.245.12","10.135.49.223","TCP","54","1","709","0","80  >  63344 [ACK] Seq=1 Ack=709 Win=30720 Len=0"
"111","0.837654","128.119.245.12","10.135.49.223","TCP","54","1","13849","0","80  >  63344 [ACK] Seq=1 Ack=13849 Win=56960 Len=0"
"112","0.837872","10.135.49.223","128.119.245.12","TCP","1514","13849","1","1460","63344  >  80 [ACK] Seq=13849 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"113","0.837872","10.135.49.223","128.119.245.12","TCP","1514","15309","1","1460","63344  >  80 [ACK] Seq=15309 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"114","0.837872","10.135.49.223","128.119.245.12","TCP","1514","16769","1","1460","63344  >  80 [PSH, ACK] Seq=16769 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"115","0.837872","10.135.49.223","128.119.245.12","TCP","1514","18229","1","1460","63344  >  80 [ACK] Seq=18229 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"116","0.837872","10.135.49.223","128.119.245.12","TCP","1514","19689","1","1460","63344  >  80 [ACK] Seq=19689 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"117","0.837872","10.135.49.223","128.119.245.12","TCP","1514","21149","1","1460","63344  >  80 [ACK] Seq=21149 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"118","0.837872","10.135.49.223","128.119.245.12","TCP","1514","22609","1","1460","63344  >  80 [ACK] Seq=22609 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"119","0.837872","10.135.49.223","128.119.245.12","TCP","1514","24069","1","1460","63344  >  80 [ACK] Seq=24069 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"120","0.837872","10.135.49.223","128.119.245.12","TCP","1514","25529","1","1460","63344  >  80 [ACK] Seq=25529 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"121","0.837872","10.135.49.223","128.119.245.12","TCP","1514","26989","1","1460","63344  >  80 [ACK] Seq=26989 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"122","0.837872","10.135.49.223","128.119.245.12","TCP","1514","28449","1","1460","63344  >  80 [ACK] Seq=28449 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"123","0.837872","10.135.49.223","128.119.245.12","TCP","1514","29909","1","1460","63344  >  80 [ACK] Seq=29909 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"124","0.837872","10.135.49.223","128.119.245.12","TCP","1514","31369","1","1460","63344  >  80 [ACK] Seq=31369 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"125","0.837872","10.135.49.223","128.119.245.12","TCP","1514","32829","1","1460","63344  >  80 [PSH, ACK] Seq=32829 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"126","0.837872","10.135.49.223","128.119.245.12","TCP","1514","34289","1","1460","63344  >  80 [ACK] Seq=34289 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"127","0.837872","10.135.49.223","128.119.245.12","TCP","1514","35749","1","1460","63344  >  80 [ACK] Seq=35749 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"128","0.837872","10.135.49.223","128.119.245.12","TCP","1514","37209","1","1460","63344  >  80 [ACK] Seq=37209 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"129","0.837872","10.135.49.223","128.119.245.12","TCP","1514","38669","1","1460","63344  >  80 [ACK] Seq=38669 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"130","0.853448","142.251.42.14","10.135.49.223","QUIC","1292","","","","Handshake, SCID=ef14599a66e44a37"
"131","0.854334","10.135.49.223","142.251.42.14","QUIC","83","","","","Handshake, DCID=ef14599a66e44a37"
"132","0.858271","142.251.42.14","10.135.49.223","QUIC","1045","","","","Protected Payload (KP0)"
"133","0.859067","10.135.49.223","142.251.42.14","QUIC","210","","","","Protected Payload (KP0), DCID=ef14599a66e44a37"
"134","0.940968","142.250.183.138","10.135.49.223","QUIC","66","","","","Protected Payload (KP0)"
"135","1.158496","10.135.49.223","128.119.245.12","TCP","54","1","1","0","[TCP Retransmission] 63276  >  80 [FIN, ACK] Seq=1 Ack=1 Win=256 Len=0"
"136","1.158652","10.135.49.223","128.119.245.12","TCP","54","1","1","0","[TCP Retransmission] 63273  >  80 [FIN, ACK] Seq=1 Ack=1 Win=256 Len=0"
"137","1.174408","10.135.49.223","128.119.245.12","TCP","54","1","1","0","[TCP Retransmission] 63272  >  80 [FIN, ACK] Seq=1 Ack=1 Win=256 Len=0"
